step,actual,predicted,error,is_anomaly
172.0,6.08,5.981055,0.09894521713256843,False
173.0,6.08,5.9836583,0.09634168624877937,False
174.0,6.08,5.9865103,0.09348972320556648,False
175.0,6.08,5.9893804,0.09061964035034187,False
176.0,6.08,5.9921255,0.08787448883056648,False
177.0,6.08,5.9946623,0.08533771514892585,False
178.0,6.08,5.9969482,0.08305175781250007,False
179.0,6.08,5.998969,0.08103092193603523,False
180.0,6.08,6.000727,0.0792728233337403,False
181.0,6.08,6.002236,0.07776411056518562,False
182.0,6.08,6.003517,0.07648284912109382,False
183.0,6.08,6.0045934,0.07540662765502937,False
184.0,6.08,6.005489,0.0745111274719239,False
185.0,6.08,6.0062275,0.07377250671386726,False
186.0,6.08,6.0068336,0.07316644668579109,False
187.0,5.315125348934376,6.001034,0.6859084340246087,False
188.0,6.08,5.9972434,0.08275659561157234,False
189.0,6.08,5.995593,0.08440692901611335,False
190.0,6.08,5.9952683,0.08473165512084968,False
191.0,6.08,5.9957533,0.0842467117309571,False
192.0,6.08,5.9967065,0.08329351425170906,False
193.0,6.08,5.9978995,0.08210046768188484,False
194.0,6.08,5.999183,0.08081682205200202,False
195.0,6.08,6.000463,0.07953699111938484,False
196.0,6.08,6.001679,0.07832105636596687,False
197.0,6.08,6.0027986,0.07720144271850593,False
198.0,6.08,6.0038037,0.07619626998901374,False
199.0,6.08,6.0046906,0.07530935287475593,False
200.0,6.08,6.0054607,0.07453926086425788,False
201.0,6.08,6.00612,0.07387979507446296,False
202.0,6.08,6.00668,0.07331998825073249,False
203.0,6.08,6.0071497,0.07285030364990241,False
204.0,6.08,6.00754,0.07245977401733406,False
205.0,6.08,6.0078626,0.07213743209838874,False
206.0,6.08,6.0081263,0.07187374114990241,False
207.0,6.08,6.0083404,0.07165964126586921,False
208.0,6.08,6.0085125,0.07148750305175788,False
209.0,6.08,6.0086503,0.07134969711303718,False
210.0,6.08,6.00876,0.07124002456665046,False
211.0,6.08,6.0088463,0.0711537170410157,False
212.0,5.594171833940454,6.004932,0.4107600927868411,False
213.0,5.595006900368862,5.9983244,0.4033174938572124,False
214.0,6.08,5.9944563,0.0855437088012696,False
215.0,6.08,5.9928694,0.0871306228637696,False
216.0,6.08,5.9927063,0.08729370117187507,False
217.0,6.08,5.99341,0.08658988952636726,False
218.0,6.08,5.9946084,0.0853915977478028,False
219.0,6.08,5.996053,0.08394678115844734,False
220.0,6.08,5.997582,0.08241804122924812,False
221.0,6.08,5.9990916,0.08090837478637702,False
222.0,6.08,6.0005174,0.07948263168334968,False
223.0,6.08,6.0018234,0.07817657470703132,False
224.0,6.08,6.002993,0.07700689315795906,False
225.0,6.08,6.0040216,0.07597835540771491,False
226.0,6.08,6.004913,0.07508714675903327,False
227.0,6.08,6.0056753,0.07432468414306648,False
228.0,6.08,6.0063205,0.07367952346801765,False
229.0,6.08,6.0068617,0.0731383132934571,False
230.0,6.08,6.007311,0.07268913269042976,False
231.0,6.08,6.0076814,0.07231863021850593,False
232.0,6.08,6.007983,0.07201679229736335,False
233.0,6.08,6.008229,0.07177122116088874,False
234.0,6.08,6.008426,0.07157381057739265,False
